problem_no,title,optimal_tc,current_space_tc
leetcode-2282,Number Of People That Can Be Seen In A Grid,O(m * n),O(n)
leetcode-2289,Steps To Make Array Non Decreasing,O(n),O(n)
leetcode-2290,Minimum Obstacle Removal To Reach Corner,O(m * n),O(n)
leetcode-2293,Min Max Game,O(n),O(1)
leetcode-2305,Fair Distribution Of Cookies,O(k * 3^n),O(n)
leetcode-2312,Selling Pieces Of Wood,O(m * n * (m + n)),O(n)
leetcode-2327,Number Of People Aware Of A Secret,O(n),O(n)
leetcode-2328,Number Of Increasing Paths In A Grid,O(m * n),O(n)
leetcode-2330,Valid Palindrome Iv,O(n),O(1)
leetcode-2332,The Latest Time To Catch A Bus,O(nlogn + mlogm),O(1)
leetcode-2333,Minimum Sum Of Squared Difference,O(nlogn + nlogr),O(n)
leetcode-2334,Subarray With Elements Greater Than Varying Threshold,O(n),O(n)
leetcode-2335,Minimum Amount Of Time To Fill Cups,O(1),O(1)
leetcode-2338,Count The Number Of Ideal Arrays,O(sqrt(m) + n + m * (logm + sqrt(m)/log(sqrt(m)))),O(n)
leetcode-2343,Query Kth Smallest Trimmed Number,O(q + n * t),O(n)
leetcode-2355,Maximum Number Of Books You Can Take,O(n),O(n)
leetcode-2368,Reachable Nodes With Restrictions,O(n),O(n)
leetcode-2369,Check If There Is A Valid Partition For The Array,O(n),O(1)
leetcode-2376,Count Special Integers,O(logn),O(1)
leetcode-2402,Meeting Rooms Iii,O(mlogm + n + mlogn),O(n)
leetcode-2403,Minimum Time To Kill All Monsters,O(n * 2^n),O(1)
leetcode-2406,Divide Intervals Into Minimum Number Of Groups,O(nlogn),O(1)
leetcode-2422,Merge Operations To Turn Array Into A Palindrome,O(n),O(1)
leetcode-2430,Maximum Deletions On A String,O(n^2),O(1)
leetcode-2431,Maximize Total Tastiness Of Purchased Fruits,O(n * a * c),O(1)
leetcode-2438,Range Product Queries Of Powers,O(logn + qlogr),O(1)
leetcode-2457,Minimum Addition To Make Integer Beautiful,O(logn),O(1)
leetcode-2464,Minimum Subarrays In A Valid Split,O(n^2 * logr),O(1)
leetcode-2466,Count Ways To Build Good Strings,O(n),O(1)
leetcode-2472,Maximum Number Of Non Overlapping Palindrome Substrings,O(n * k),O(n)
leetcode-2473,Minimum Cost To Buy Apples,O(n * rlogn),O(n)
leetcode-2477,Minimum Fuel Cost To Report To The Capital,O(n),O(n)
leetcode-2479,Maximum Xor Of Two Non Overlapping Subtrees,O(nlogr),O(n)
leetcode-2491,Divide Players Into Teams Of Equal Skill,O(n),O(1)
leetcode-2493,Divide Nodes Into The Maximum Number Of Groups,O(n^2),O(n)
leetcode-2497,Maximum Star Sum Of A Graph,O(n),O(n)
leetcode-2500,Delete Greatest Value In Each Row,O(m * nlogn),O(n)
leetcode-2503,Maximum Number Of Points From Grid Queries,O((m * n + q) * log(m * n)),O(n)
leetcode-2507,Smallest Value After Replacing With Sum Of Prime Factors,O(s * logn),O(1)
leetcode-2509,Cycle Length Queries In A Tree,O(q * n),O(1)
leetcode-2510,Check If There Is A Path With Equal Number Of 0S And 1S,O(m * n),O(1)
leetcode-2511,Maximum Enemy Forts That Can Be Captured,O(n),O(1)
leetcode-2517,Maximum Tastiness Of Candy Basket,O(nlogr),O(1)
leetcode-2522,Partition String Into Substrings With Values At Most K,O(n),O(1)
leetcode-2523,Closest Prime Numbers In Range,precompute: O(MAXN * log(MAXN)); runtime: O(log(MAXN)),O(n)
leetcode-2528,Maximize The Minimum Powered City,O(nlogk),O(n)
leetcode-2532,Time To Cross A Bridge,O(k + nlogk),O(1)
leetcode-2540,Minimum Common Value,O(n),O(1)
leetcode-2547,Minimum Cost To Split An Array,O(n^2),O(n)
leetcode-2553,Separate The Digits In An Array,O(n * logr),O(1)
leetcode-2562,Find The Array Concatenation Value,O(nlogr),O(1)
leetcode-2565,Subsequence With The Minimum Score,O(n),O(n)
leetcode-2571,Minimum Operations To Reduce An Integer To 0,O(logn),O(1)
leetcode-2577,Minimum Time To Visit A Cell In A Grid,O(m * n * log\(m * n\)),O(n)
leetcode-2578,Split With Minimum Sum,O(mlogm),O(n)
leetcode-2581,Count Number Of Possible Root Nodes,O(n),O(n)
leetcode-2593,Find Score Of An Array After Marking All Elements,O(nlogn),O(n)
leetcode-2595,Number Of Even And Odd Bits,O(1),O(n)
leetcode-2597,The Number Of Beautiful Subsets,O(n),O(n)
leetcode-2599,Make The Prefix Sum Non Negative,O(nlogn),O(1)
leetcode-2603,Collect Coins In A Tree,O(n),O(n)
leetcode-2604,Minimum Time To Eat All Grains,O(mlogm + nlogn + (m + n) * logr),O(1)
leetcode-2607,Make K Subarray Sums Equal,O(n),O(n)
leetcode-2608,Shortest Cycle In A Graph,O(n^2),O(n)
leetcode-2613,Beautiful Pairs,O(n) on average,O(n)
leetcode-2616,Minimize The Maximum Difference Of Pairs,O(nlogn + nlogr),O(1)
leetcode-2617,Minimum Number Of Visited Cells In A Grid,O(m * n),O(n)
leetcode-2645,Minimum Additions To Make Valid String,O(n),O(1)
leetcode-2646,Minimize The Total Price Of The Trips,O(t * n),O(n)
leetcode-2662,Minimum Cost Of A Path With Special Roads,O(n^2),O(n)
leetcode-2664,The Knights Tour,O(m * n),O(n)
leetcode-2679,Sum In A Matrix,O(m * nlogn),O(1)
leetcode-2682,Find The Losers Of The Circular Game,O(n),O(n)
leetcode-2698,Find The Punishment Number Of An Integer,O(n * (logn)^(2*logn)),O(1)
leetcode-2711,Difference Of Number Of Distinct Values On Diagonals,O(m * n),O(n)
leetcode-2713,Maximum Strictly Increasing Cells In A Matrix,O(m * n * log(m * n)),O(n)
leetcode-2719,Count Of Integers,O(m * n),O(n)
leetcode-2730,Find The Longest Semi Repetitive Substring,O(n),O(1)
leetcode-2732,Find A Good Subset Of The Matrix,O(m * 2^n),O(n)
leetcode-2736,Maximum Sum Queries,O(nlogn + mlogm + mlogn),O(n)
leetcode-2739,Total Distance Traveled,O(1),O(1)
leetcode-2742,Painting The Walls,O(n^2),O(1)
leetcode-2743,Count Substrings Without Repeating Character,O(n),O(n)
leetcode-2746,Decremental String Concatenation,O(n),O(1)
leetcode-2760,Longest Even Odd Subarray With Threshold,O(n),O(1)
leetcode-2764,Is Array A Preorder Of Some Binary Tree,O(n),O(n)
leetcode-2765,Longest Alternating Subarray,O(n),O(1)
leetcode-2767,Partition String Into Minimum Beautiful Substrings,O(n^2),O(1)
leetcode-2770,Maximum Number Of Jumps To Reach The Last Index,O(n^2),O(1)
leetcode-2787,Ways To Express An Integer As Sum Of Powers,O(nlogn),O(n)
leetcode-2801,Count Stepping Numbers In Range,O(n),O(1)
leetcode-2809,Minimum Time To Make Array Sum At Most X,O(n^2),O(n)
leetcode-2811,Check If It Is Possible To Split Array,O(n),O(1)
leetcode-2827,Number Of Beautiful Integers In The Range,O(n^2 * k),O(1)
leetcode-2829,Determine The Minimum Sum Of A K Avoiding Array,O(1),O(n)
leetcode-2832,Maximal Range That Each Element Is Maximum In It,O(n),O(n)
leetcode-2835,Minimum Operations To Form Subsequence With Target Sum,O(n),O(n)
leetcode-2844,Minimum Operations To Make A Special Number,O(n),O(1)
leetcode-2851,String Transformation,O(n + logk),O(n)
leetcode-2855,Minimum Right Shifts To Sort The Array,O(n),O(1)
leetcode-2856,Minimum Array Length After Pair Removals,O(n),O(n)
leetcode-2861,Maximum Number Of Alloys,O(k * nlogn),O(n)
leetcode-2866,Beautiful Towers Ii,O(n),O(n)
leetcode-2896,Apply Operations To Make Two Strings Equal,O(n),O(n)
leetcode-2901,Longest Unequal Adjacent Groups Subsequence Ii,O(n^2),O(n)
leetcode-2921,Maximum Profitable Triplets With Increasing Prices Ii,O(nlogn),O(n)
leetcode-2926,Maximum Balanced Subsequence Sum,O(nlogn),O(n)
leetcode-2931,Maximum Spending After Buying Items,O(m * n * logm),O(n)
leetcode-2933,High Access Employees,O(nlogn),O(n)
leetcode-2944,Minimum Number Of Coins For Fruits,O(n),O(n)
leetcode-2948,Make Lexicographically Smallest Array By Swapping Elements,O(nlogn),O(n)
leetcode-2952,Minimum Number Of Coins To Be Added,O(nlogn + logt),O(1)
leetcode-2957,Remove Adjacent Almost Equal Characters,O(n),O(1)
leetcode-2958,Length Of Longest Subarray With At Most K Frequency,O(n),O(n)
leetcode-2962,Count Subarrays Where Max Element Appears At Least K Times,O(n),O(1)
leetcode-2968,Apply Operations To Maximize Frequency Score,O(nlogn),O(1)
leetcode-2969,Minimum Number Of Coins For Fruits Ii,O(n),O(n)
leetcode-2970,Count The Number Of Incremovable Subarrays I,O(n),O(1)
leetcode-2975,Maximum Square Area By Removing Fences From A Field,O(h^2 + v^2),O(n)
leetcode-2981,Find Longest Special Substring That Occurs Thrice I,O(26 * 3 + n * 3),O(n)
leetcode-2982,Find Longest Special Substring That Occurs Thrice Ii,O(26 * 3 + n * 3),O(n)
leetcode-2992,Number Of Self Divisible Permutations,O(n * 2^n),O(1)
leetcode-2996,Smallest Missing Integer Greater Than Sequential Prefix Sum,O(n),O(n)
leetcode-2998,Minimum Number Of Operations To Make X And Y Equal,O(x),O(1)
leetcode-2999,Count The Number Of Powerful Integers,O(logf),O(1)
leetcode-3003,Maximize The Number Of Partitions After Operations,O(n),O(1)
leetcode-3006,Find Beautiful Indices In The Given Array I,O(n),O(n)
leetcode-3007,Maximum Number That Sum Of The Prices Is Less Than Or Equal To K,"O(max(logk, x) * log((logk) / x))",O(1)
leetcode-3008,Find Beautiful Indices In The Given Array Ii,O(n),O(n)
leetcode-3009,Maximum Number Of Intersections On The Chart,O(nlogn),O(n)
leetcode-3011,Find If Array Can Be Sorted,O(n),O(1)
leetcode-3016,Minimum Number Of Pushes To Type Word Ii,O(n),O(n)
leetcode-3020,Find The Maximum Number Of Elements In Subset,O(n),O(n)
leetcode-3032,Count Numbers With Unique Digits Ii,O(logb),O(1)
leetcode-3036,Number Of Subarrays That Match A Pattern Ii,O(n),O(n)
leetcode-3040,Maximum Number Of Operations With The Same Score Ii,O(n^2),O(1)
leetcode-3041,Maximize Consecutive Elements In An Array After Modification,O(nlogn),O(1)
leetcode-3043,Find The Length Of The Longest Common Prefix,O((n + m) * l),O(n)
leetcode-3044,Most Frequent Prime,precompute: O(10^MAXNM); runtime: O(n * m * (n + m)),O(n)
leetcode-3047,Find The Largest Area Of Square Inside Two Rectangles,O(n^2),O(1)
leetcode-3066,Minimum Operations To Exceed Threshold Value Ii,O(nlogn),O(n)
leetcode-3072,Distribute Elements Into Two Arrays Ii,O(nlogn),O(n)
leetcode-3079,Find The Sum Of Encrypted Integers,O(nlogr),O(n)
leetcode-3086,Minimum Moves To Pick K Ones,O(n),O(n)
leetcode-3090,Maximum Length Substring With Two Occurrences,O(n + 26),O(n)
leetcode-3092,Most Frequent Ids,O(nlogn),O(n)
leetcode-3095,Shortest Subarray With Or At Least K I,O(n * 30),O(n)
leetcode-3098,Find The Sum Of Subsequence Powers,O(n^3 * k),O(1)
leetcode-3099,Harshad Number,O(logx),O(1)
leetcode-3100,Water Bottles Ii,O(sqrt(n)),O(1)
leetcode-3117,Minimum Sum Of Values By Dividing Array,O(n * m * logr),O(1)
leetcode-3123,Find Edges In Shortest Paths,O(|E| * log|V|),O(n)
leetcode-3129,Find All Possible Stable Binary Arrays I,O(n * m),O(1)
leetcode-3144,Minimum Substring Partition Of Equal Character Frequency,O(n * (n + 26)),O(n)
leetcode-3149,Find The Minimum Cost Array Permutation,O((n-1)^2 * 2^(n-1)),O(1)
leetcode-3154,Find Number Of Ways To Reach The K Th Stair,O(logk),O(1)
leetcode-3180,Maximum Total Reward Using Operations I,O(n * k),O(1)
leetcode-3186,Maximum Total Damage With Spell Casting,O(nlogn),O(n)
leetcode-3196,Maximize Total Cost Of Alternating Subarrays,O(n),O(1)
leetcode-3200,Maximum Height Of A Triangle,O(logn),O(n)
leetcode-3203,Find Minimum Diameter After Merging Two Trees,O(n + m),O(n)
leetcode-3205,Maximum Array Hopping Score I,O(n),O(n)
leetcode-3221,Maximum Array Hopping Score Ii,O(n),O(1)
leetcode-3231,Minimum Number Of Increasing Subsequence To Be Removed,O(nlogn),O(1)
leetcode-3234,Count The Number Of Substrings With Dominant Ones,O(n^(3/2)),O(n)
leetcode-3243,Shortest Distance After Road Addition Queries I,O(n^2),O(n)
leetcode-3249,Count The Number Of Good Nodes,O(n),O(n)
leetcode-3253,Construct String With Minimum Cost Easy,O(n * w * l),O(n)
leetcode-3258,Count Substrings That Satisfy K Constraint I,O(n),O(n)
leetcode-3272,Find The Count Of Good Integers,O(n + 10 * 10^((n + 1)/2)),O(n)
leetcode-3279,Maximum Total Area Occupied By Pistons,O(h),O(n)
leetcode-3281,Maximize Score Of Numbers In Ranges,O(nlogr),O(1)
leetcode-3286,Find A Safe Walk Through A Grid,O(m * n),O(n)
leetcode-3291,Minimum Number Of Valid Strings To Form Target I,O(n + w * l),O(n)
leetcode-3292,Minimum Number Of Valid Strings To Form Target Ii,O(n + w * l),O(n)
leetcode-3302,Find The Lexicographically Smallest Valid Sequence,O(n + m),O(n)
leetcode-3303,Find The Occurrence Of First Almost Equal Substring,O(n + m),O(n)
leetcode-3305,Count Of Substrings Containing Every Vowel And K Consonants I,O(n),O(n)
leetcode-3306,Count Of Substrings Containing Every Vowel And K Consonants Ii,O(n),O(n)
leetcode-3309,Maximum Possible Number By Binary Concatenation,O(n * logr * logn),O(n)
leetcode-3313,Find The Last Marked Nodes In Tree,O(n),O(n)
leetcode-3318,Find X Sum Of All K Long Subarrays I,O(nlogn),O(n)
leetcode-3320,Count The Number Of Winning Sequences,O(n^2),O(n)
leetcode-3321,Find X Sum Of All K Long Subarrays Ii,O(nlogn),O(n)
leetcode-3325,Count Substrings With K Frequency Characters I,O(n + 26),O(n)
leetcode-3329,Count Substrings With K Frequency Characters Ii,O(n + 26),O(n)
leetcode-3337,Total Characters In String After Transformations Ii,O(n + 26^3 * logt),O(n)
leetcode-3341,Find Minimum Time To Reach Last Room I,O(n * m * log(n * m)),O(n)
leetcode-3342,Find Minimum Time To Reach Last Room Ii,O(n * m * log(n * m)),O(n)
leetcode-3343,Count Number Of Balanced Permutations,O(n^2),O(n)
leetcode-3344,Maximum Sized Array,precompute: O(maxs^(1/5) * log(maxs)); runtime: O(log(maxs)),O(n)
leetcode-3345,Smallest Divisible Digit Product I,O(logn),O(1)
leetcode-3346,Maximum Frequency Of An Element After Performing Operations I,O(nlogn),O(n)
leetcode-3347,Maximum Frequency Of An Element After Performing Operations Ii,O(nlogn),O(n)
leetcode-3352,Count K Reducible Numbers Less Than N,O(n^2),O(n)
leetcode-3359,Find Sorted Submatrices With Maximum Element At Most K,O(m * n),O(n)
leetcode-3360,Stone Removal Game,O(1),O(1)
leetcode-3362,Zero Array Transformation Iii,O(n + qlogq),O(n)
leetcode-3370,Smallest Number With All Set Bits,O(1),O(1)
leetcode-3376,Minimum Time To Break Locks I,O(n^3),O(1)
leetcode-3377,Digit Operations To Make Two Integers Equal,O(nlogn),O(n)
leetcode-3382,Maximum Area Rectangle With Point Constraints Ii,O(nlogn),O(n)
leetcode-3383,Minimum Runes To Add To Cast Spell,O(n),O(n)
leetcode-3393,Count Paths With The Given Xor Value,O(m * n * r),O(1)
leetcode-3413,Maximum Coins From K Consecutive Bags,O(nlogn),O(n)
leetcode-3418,Maximum Amount Of Money Robot Can Earn,O(m * n),O(1)
leetcode-3420,Count Non Decreasing Subarrays After K Operations,O(n),O(n)
leetcode-3446,Sort Matrix By Diagonals,O(n^2 * logn),O(1)
leetcode-3456,Find Special Substring Of Length K,O(n),O(1)
leetcode-3459,Length Of Longest V Shaped Diagonal Segment,O(n * m),O(n)
leetcode-3460,Longest Common Prefix After At Most One Removal,O(n),O(1)
leetcode-3463,Check If Digits Are Equal In String After Operations Ii,O(nlogn),O(n)
leetcode-3464,Maximize The Distance Between Points On A Square,O(nlogn + nlogs),O(n)
leetcode-3469,Find Minimum Cost To Remove Array Elements,O(n^2),O(1)
leetcode-3472,Longest Palindromic Subsequence After At Most K Operations,O(n^2 * k),O(1)
leetcode-3473,Sum Of K Subarrays With Length At Least M,O(k * n),O(1)
leetcode-3493,Properties Graph,O(n^2 * m),O(n)
leetcode-3499,Maximize Active Section With Trade I,O(n),O(1)
leetcode-3503,Longest Palindrome After Substring Concatenation I,O(n * m),O(n)
leetcode-3504,Longest Palindrome After Substring Concatenation Ii,O(n * m),O(n)
